"filename", "language", "JSON", "C++", "JavaScript", "Markdown", "JavaScript JSX", "CMake", "XML", "PostCSS", "HTML", "Dotenv", "MS SQL", "Properties", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\package-lock.json", "JSON", 4580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4581
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 77
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\components\BackButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\components\Icons.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\config\firebase-admin.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\config\firebase.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\config\firebaseAdmin.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 31
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\layouts\DashboardLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 273
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\CommandeList.jsx", "JavaScript JSX", 0, 0, 0, 0, 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 42, 416
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 248
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\Parametres.jsx", "JavaScript JSX", 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 218
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\Recouvrements.jsx", "JavaScript JSX", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 169
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\Tracking.jsx", "JavaScript JSX", 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 39, 351
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\TrackingLivraison.jsx", "JavaScript JSX", 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 33, 326
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\TrackingPublic.jsx", "JavaScript JSX", 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 38, 342
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\auth\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 81
